,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,287,0,0,5,0
Brute Force,0,1433,0,4,156
DoS/DDoS,0,0,48196,39,5
Normal,2612,37,149,311193,209
Web Attack,0,1,0,3,97
