,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,271,0,0,21,0
Brute Force,0,1505,0,1,87
DoS/DDoS,0,0,48221,16,3
Normal,1128,1,125,312930,16
Web Attack,0,25,0,3,73
