,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,286,0,0,6,0
Brute Force,0,1430,0,4,159
DoS/DDoS,0,0,48198,35,7
Normal,2646,47,158,311145,204
Web Attack,0,1,0,4,96
