,precision,recall,f1-score,support
Bot,0.042723631508678236,0.9863013698630136,0.08189961609554955,292.0
Brute Force,0.874310239117106,0.8951663527934715,0.8846153846153846,1593.0
DoS/DDoS,0.9873962623398663,0.9890132669983416,0.9882041031907952,48240.0
Normal,0.9988097907077954,0.9641852323360917,0.981192146498507,314200.0
Web Attack,0.02123334086288683,0.9306930693069307,0.04151943462897526,101.0
accuracy,0.9671785218398248,0.9671785218398248,0.9671785218398248,0.9671785218398248
macro avg,0.5848946529072665,0.9530718582595699,0.5954861370058423,364426.0
weighted avg,0.9957177259976119,0.9671785218398248,0.9807171794170685,364426.0
