,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,222,0,0,70,0
Brute Force,0,1585,0,3,5
DoS/DDoS,0,2,48216,22,0
Normal,10,2,43,314140,5
Web Attack,0,88,1,2,10
