split_seed,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds
0,rf_all,0.9603960396039604,0.9603960396039604,0.962679996917861,0.9603960396039604,0.960391894442776,0.21437089997925796,0.028834600001573563
0,rf_chi2,0.9623762376237623,0.9623762376237623,0.9650976412798895,0.9623762376237623,0.9624467630446203,0.21007790000294335,0.027921100001549348
1,rf_all,0.9584158415841584,0.9584158415841584,0.9604081132980016,0.9584158415841584,0.9586159717462064,0.21234309999272227,0.028106599987950176
1,rf_chi2,0.9603960396039604,0.9603960396039604,0.9609676806962708,0.9603960396039604,0.9603670736661727,0.21327710000332445,0.027831000013975427
2,rf_all,0.9683168316831683,0.9683168316831683,0.9690283388914898,0.9683168316831683,0.9682519654451008,0.21427939998102374,0.028271699993638322
2,rf_chi2,0.9702970297029703,0.9702970297029703,0.9708178780676905,0.9702970297029703,0.9702764599707235,0.2098423000134062,0.02913699997588992
3,rf_all,0.9524752475247524,0.9524752475247524,0.9544676859894251,0.9524752475247524,0.9525886658925244,0.21179970001685433,0.027648699993733317
3,rf_chi2,0.9524752475247524,0.9524752475247524,0.9537913380482216,0.9524752475247524,0.9524878072785332,0.20726029999786988,0.07341909999377094
4,rf_all,0.9544554455445544,0.9544554455445544,0.958940060036728,0.9544554455445544,0.9544735977718484,0.2116080999840051,0.028468300006352365
4,rf_chi2,0.9524752475247524,0.9524752475247524,0.9560605517318777,0.9524752475247524,0.9523487543638574,0.22535189997870475,0.028526400012196973
5,rf_all,0.9702970297029703,0.9702970297029703,0.9715259390016671,0.9702970297029703,0.9704118440898627,0.21860959997866303,0.028464300004998222
5,rf_chi2,0.9722772277227723,0.9722772277227723,0.9738573857385738,0.9722772277227723,0.9724533784767466,0.22081769999931566,0.027911400015000254
6,rf_all,0.9366336633663367,0.9366336633663366,0.9396543548306869,0.9366336633663366,0.9364376028219124,0.2168148999917321,0.027076800004579127
6,rf_chi2,0.9366336633663367,0.9366336633663366,0.9393967969319519,0.9366336633663366,0.9363428701714994,0.21803150000050664,0.027054400008637458
7,rf_all,0.9623762376237623,0.9623762376237623,0.9640572167778115,0.9623762376237623,0.9624095438484195,0.21048170002177358,0.028493799996795133
7,rf_chi2,0.9603960396039604,0.9603960396039604,0.9619993639337036,0.9603960396039604,0.9604001303491694,0.21345250000013039,0.028087899991078302
8,rf_all,0.9623762376237623,0.9623762376237623,0.9642974770353412,0.9623762376237623,0.9623913934765683,0.21755159998429008,0.02878729999065399
8,rf_chi2,0.9603960396039604,0.9603960396039604,0.9623568829759351,0.9603960396039604,0.9604209486708937,0.2189632000226993,0.027992900024401024
9,rf_all,0.9445544554455445,0.9445544554455445,0.9483274139001694,0.9445544554455445,0.9443116768000648,0.21586250001564622,0.028623799997149035
9,rf_chi2,0.9445544554455445,0.9445544554455445,0.9473873037587129,0.9445544554455445,0.9442229290794713,0.21284220000961795,0.028966200014110655
