seed,model,accuracy,balanced_accuracy,macro_f1,log_loss,brier_macro,ece,mce,train_seconds,predict_seconds
42,equal_rf,0.9603960396039604,0.9603960396039604,0.9605030012596144,0.13185090535976296,0.013795592177752124,0.026243873418694136,0.3905902091419293,0.2039385999996739,0.027346400001988513
42,extra_trees,0.9465346534653465,0.9465346534653465,0.9463054609104635,0.15246402016446958,0.015374037507196481,0.043412898710451654,0.35619012874456785,0.11422349999702419,0.027967599999101367
42,cfrg_forest,0.9623762376237623,0.9623762376237623,0.9624852863317515,0.1433726709304493,0.014008255661070876,0.023811778842601723,0.20323564578079623,0.38134770000033313,0.02861729999858653
42,xgboost,0.9643564356435643,0.9643564356435643,0.9645549331040968,0.10080927610397339,0.011177525960374624,0.010909985551739769,0.3398990035057068,0.4208498999978474,0.002935000000434229
2024,equal_rf,0.9603960396039604,0.9603960396039604,0.9605030012596144,0.13518874947617768,0.01399414427903142,0.025258271088228597,0.2583154513507662,0.24190309999903548,0.027823099997476675
2024,extra_trees,0.9524752475247524,0.9524752475247524,0.9523047805355249,0.1485108346431827,0.014916132577233177,0.03563743581286941,0.3450535038453218,0.13262920000124723,0.02875049999784096
2024,cfrg_forest,0.9623762376237623,0.9623762376237623,0.9624852863317515,0.1428840491562456,0.01396287767520736,0.022720620407401082,0.20043652125845768,0.38358940000034636,0.03020209999885992
2024,xgboost,0.9623762376237623,0.9623762376237623,0.9625845868157367,0.10722510516643524,0.011858254042454063,0.010458892288774627,0.12608772913614918,0.40761729999940144,0.0020237999997334555
3407,equal_rf,0.9584158415841584,0.9584158415841584,0.9585207729615967,0.13280341594175843,0.013660841710868371,0.02722905527290373,0.6164741692787222,0.23158699999839882,0.02863419999994221
3407,extra_trees,0.9485148514851485,0.9485148514851485,0.9483173932519116,0.15028299150565627,0.01510433063537479,0.03618814472522378,0.3788377036384148,0.16234700000131852,0.029003999999986263
3407,cfrg_forest,0.9603960396039604,0.9603960396039604,0.9605030012596144,0.14809536134717172,0.01468011992591857,0.02436420005941065,0.21109147349505752,0.41985009999916656,0.027264099997410085
3407,xgboost,0.9623762376237623,0.9623762376237623,0.9625845868157367,0.1032252386212349,0.011369101982563735,0.01200945141291848,0.49729931354522705,0.3657753999978013,0.0018554000016592909
