significant_digits,total_rows,near_duplicate_groups,rows_in_near_duplicate_groups,near_duplicate_row_fraction,groups_spanning_splits,rows_in_cross_split_groups,cross_split_row_fraction
3,53237,249,790,0.014839303491932302,146,547,0.010274808873527809
4,53237,84,189,0.0035501624809812725,44,104,0.00195352856096324
