accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,model,seed,train_seconds,predict_seconds,feature_count
0.9780866516403707,0.9512395934880231,0.8644380204938722,0.9512395934880231,0.8907734985806057,0.053157281110561914,0.006413873991981092,0.005447175620268171,0.38755817429718376,equal_rf_chi2,42,0.8076071000105003,0.029369099996984005,60
0.9765840220385675,0.9500862978194732,0.8590131909041672,0.9500862978194732,0.88654495355369,0.054867752308627,0.006713218167589063,0.00651500969445615,0.27848113430398713,equal_rf_all,42,0.8522335000016028,0.03922940000484232,78
0.963686451289757,0.9617659624719535,0.8235703609032367,0.9617659624719535,0.858042316461435,0.08831311847159591,0.010732931638700463,0.01354621832222557,0.2715038217703584,extra_trees_chi2,42,0.44200359999376815,0.04243800000404008,60
0.9768344603055347,0.9538111634133772,0.8610865293275237,0.9538111634133772,0.8879957396536551,0.07497870091676327,0.007779718683483583,0.01899974021432143,0.5646653526331362,cfrg_forest_chi2,42,3.6984966000018176,0.4104799000051571,60
0.9774605559729527,0.9487571983558546,0.8620575965757306,0.9487571983558546,0.8881908899877397,0.05254282628966575,0.00628894150541069,0.0038195032799972694,0.6095429913470687,equal_rf_chi2,2024,0.7623484999930952,0.03026329999556765,60
0.977961432506887,0.9511140442099315,0.8643701827602446,0.9511140442099315,0.8906723915003536,0.052985472401163046,0.0064043490871306995,0.003908887710529795,0.6657513831261641,equal_rf_all,2024,0.8024839999998221,0.030890200010617264,78
0.9639368895567243,0.9618992958052868,0.8231164772733685,0.9618992958052868,0.8579132266504619,0.08812334340337137,0.010790489783415324,0.015696692336846826,0.32628062423373433,extra_trees_chi2,2024,0.44639909999386873,0.040026799993938766,60
0.9770848985725019,0.9509712293263226,0.8603668092429746,0.9509712293263226,0.8876868192399489,0.0757920931919011,0.007869445219152012,0.018855857652613967,0.6183082428677046,cfrg_forest_chi2,2024,3.808522000006633,0.4006412000017008,60
0.9772101177059854,0.9484472171882462,0.8618882645233912,0.9484472171882462,0.8876463549181455,0.052784102020415544,0.0063004045796333135,0.004058101734222308,0.14185637929391148,equal_rf_chi2,3407,0.7812184000067646,0.02876069999183528,60
0.9763335837716003,0.9513365523364502,0.8604720904067298,0.9513365523364502,0.8866639521652754,0.05486556462291801,0.006754248151500444,0.004952948819643512,0.15983638540229728,equal_rf_all,3407,0.7935173000005307,0.04011020000325516,78
0.9634360130227899,0.96151486391577,0.8227730563159715,0.96151486391577,0.8571830550266695,0.09064379517051711,0.011022612107715928,0.01813121673607793,0.32461850724352803,extra_trees_chi2,3407,0.4390159000031417,0.02806579999742098,60
0.977335336839469,0.9546960949202266,0.8626650107483874,0.9546960949202266,0.8894078154265657,0.07436857912651737,0.007749156220063477,0.019071431363417032,0.5339894828478119,cfrg_forest_chi2,3407,3.7408295000059297,0.40799730000435375,60
