,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,12,244,291,57,70,0,3,0,0,0
Backdoor,11,181,296,11,75,0,2,0,7,0
DoS,118,1947,1027,708,152,0,6,36,94,1
Exploits,145,1923,967,7200,326,0,46,280,238,7
Fuzzers,30,497,586,275,3924,0,392,25,333,0
Generic,10,8,68,463,67,18166,1,4,82,2
Normal,878,2,18,674,9893,0,25214,29,292,0
Reconnaissance,14,247,70,157,29,0,2,2891,86,0
Shellcode,0,1,0,13,36,0,2,3,323,0
Worms,0,0,0,17,2,0,0,0,5,20
