,precision,recall,f1-score,support
Analysis,0.009852216748768473,0.01772525849335303,0.012664907651715039,677.0
Backdoor,0.03584158415841584,0.31046312178387653,0.06426415764246406,583.0
DoS,0.3090580800481493,0.25116165321594525,0.277118186724231,4089.0
Exploits,0.7519582245430809,0.6467840459935321,0.6954170087410054,11132.0
Fuzzers,0.2692466035405517,0.6473111184427581,0.38030626090327585,6062.0
Generic,1.0,0.9626410895024111,0.980964980964981,18871.0
Normal,0.9823126071372915,0.6814594594594594,0.8046850067019851,37000.0
Reconnaissance,0.8846389228886169,0.8269450800915332,0.8548196333530456,3496.0
Shellcode,0.22123287671232877,0.8544973544973545,0.3514689880304679,378.0
Worms,0.6666666666666666,0.45454545454545453,0.5405405405405406,44.0
accuracy,0.7161006655978235,0.7161006655978235,0.7161006655978235,0.7161006655978235
macro avg,0.513080778244387,0.5653533636025678,0.4962249671253711,82332.0
weighted avg,0.8467728155410474,0.7161006655978235,0.7610187898997575,82332.0
