seed,comparison,accuracy_delta,permutation_p,mcnemar_p,macro_f1_delta,macro_f1_ci_low,macro_f1_ci_high,a_only_correct,b_only_correct
42,xgboost_chi2_vs_random_forest_chi2,0.005940594059405946,0.5450227488625569,0.548828125,0.006028324996117385,-0.0064522683057629685,0.01835722109020167,4,7
42,extra_trees_chi2_vs_random_forest_chi2,-0.011881188118811892,0.20948952552372382,0.210113525390625,-0.012223816143761668,-0.028609409049932484,0.0026647609992477197,11,5
2024,xgboost_chi2_vs_random_forest_chi2,0.005940594059405946,0.552022398880056,0.548828125,0.006028324996117385,-0.007443064088073888,0.01851349454909983,4,7
2024,extra_trees_chi2_vs_random_forest_chi2,-0.007920792079207928,0.44847757612119393,0.454498291015625,-0.008143261901976007,-0.02364258323814203,0.007057998680941256,10,6
3407,xgboost_chi2_vs_random_forest_chi2,0.005940594059405946,0.5087745612719364,0.5078125,0.0060341601425001334,-0.005623106771093224,0.01824362142631309,3,6
3407,extra_trees_chi2_vs_random_forest_chi2,-0.005940594059405946,0.6103694815259237,0.6072387695312499,-0.006132580137947818,-0.021015682453862643,0.009327911024753712,9,6
