,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.0310192023633678,0.5110782865583456,0.11964549483013294,0.05465288035450517,0.1240768094534712,0.1019202363367799,0.023633677991137372,0.029542097488921712,0.004431314623338257,0.0
Backdoor,0.029159519725557463,0.4888507718696398,0.10634648370497427,0.018867924528301886,0.1732418524871355,0.12864493996569468,0.0,0.03773584905660377,0.017152658662092625,0.0
DoS,0.062117877231596966,0.4871606749816581,0.1557838102225483,0.15309366593299095,0.062117877231596966,0.02983614575690878,0.0009782342871117633,0.01491807287845439,0.03301540719002201,0.0009782342871117633
Exploits,0.023805246137261947,0.18675889328063242,0.03431548688465685,0.6467840459935321,0.039076536112109234,0.0159899389148401,0.005479698167445203,0.03036291771469637,0.01688825008983112,0.0005389867049946101
Fuzzers,0.008083140877598153,0.11101946552292973,0.026558891454965358,0.04998350379412735,0.6679313757835698,0.02210491586935005,0.05163312438139228,0.0074232926426921805,0.05509732761464863,0.0001649620587264929
Generic,0.00042393089926342006,0.0009538445233426952,0.0038153780933707806,0.022574320385777117,0.0042393089926342,0.9572889618992104,5.299136240792751e-05,0.00010598272481585502,0.010333315669545864,0.00021196544963171003
Normal,0.021648648648648648,0.0006486486486486486,0.0024594594594594594,0.018108108108108107,0.2748918918918919,2.7027027027027027e-05,0.6751891891891892,0.0008648648648648649,0.006135135135135135,2.7027027027027027e-05
Reconnaissance,0.008867276887871853,0.06721967963386728,0.008295194508009153,0.055491990846681924,0.016590389016018305,0.0014302059496567505,0.0,0.8192219679633868,0.02259725400457666,0.0002860411899313501
Shellcode,0.0,0.0,0.0026455026455026454,0.07936507936507936,0.09788359788359788,0.0,0.005291005291005291,0.015873015873015872,0.798941798941799,0.0
Worms,0.0,0.0,0.022727272727272728,0.5,0.0,0.0,0.022727272727272728,0.0,0.0,0.45454545454545453
