,precision,recall,f1-score,support
Analysis,0.026415094339622643,0.0620384047267356,0.03705337450374945,677.0
Backdoor,0.036629213483146066,0.27958833619210977,0.0647725014901649,583.0
DoS,0.32337758112094395,0.2144778674492541,0.2579032495221291,4089.0
Exploits,0.7412192167945095,0.6597197269134027,0.6980988593155893,11132.0
Fuzzers,0.2752708228710811,0.6329594193335533,0.38368081595920206,6062.0
Generic,0.9845835376150787,0.9577658841608818,0.9709895777371871,18871.0
Normal,0.9769926047658176,0.706972972972973,0.8203343055163547,37000.0
Reconnaissance,0.8881516587677725,0.8040617848970252,0.8440174148025822,3496.0
Shellcode,0.21240199572344975,0.7883597883597884,0.33464345873104995,378.0
Worms,0.5588235294117647,0.4318181818181818,0.48717948717948717,44.0
accuracy,0.7241777194772385,0.7241777194772385,0.7241777194772385,0.7241777194772385
macro avg,0.5023865254893186,0.5537762366823905,0.4898673044757496,82332.0
weighted avg,0.8407439334952657,0.7241777194772385,0.7650616179738043,82332.0
