model,macro_f1_mean,macro_f1_std
rccf,0.8892782820171663,0.0010773080801886696
equal_rf_all,0.8876657556414335,0.00181913756892505
equal_rf_chi2,0.8897341182289404,0.0017984637531536334
extra_trees_chi2,0.857490301370287,0.000892891424924906
