,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1461,0,2,130
DoS/DDoS,0,0,2994,5,0
Normal,16,0,5,2979,0
Web Attack,0,13,0,2,86
