,precision,recall,f1-score,support
Bot,0.9901960784313726,1.0,0.9950738916256158,101.0
Brute Force,0.967741935483871,0.8910891089108911,0.9278350515463918,101.0
DoS/DDoS,1.0,0.9603960396039604,0.9797979797979798,101.0
Normal,0.9615384615384616,0.9900990099009901,0.975609756097561,101.0
Web Attack,0.8990825688073395,0.9702970297029703,0.9333333333333333,101.0
accuracy,0.9623762376237623,0.9623762376237623,0.9623762376237623,0.9623762376237623
macro avg,0.963711808852209,0.9623762376237623,0.9623300024801763,505.0
weighted avg,0.963711808852209,0.9623762376237623,0.9623300024801762,505.0
