split_seed,k,pair_count,jaccard_mean,jaccard_std
42,10,10,0.7757575757575758,0.1089786178526156
42,20,10,0.9246753246753248,0.05844423060536228
42,60,10,0.9546271813855103,0.022421832645914904
2024,10,10,0.7757575757575758,0.1089786178526156
2024,20,10,0.9238095238095239,0.04015590679578895
2024,60,10,0.9609730301427817,0.020291837489564667
3407,10,10,1.0,0.0
3407,20,10,0.8969696969696971,0.051050446234029274
3407,60,10,0.9547279091435623,0.026742734456723573
