,precision,recall,f1-score,support
Bot,0.9711538461538461,1.0,0.9853658536585366,101.0
Brute Force,0.967032967032967,0.8712871287128713,0.9166666666666666,101.0
DoS/DDoS,0.9801980198019802,0.9801980198019802,0.9801980198019802,101.0
Normal,0.9896907216494846,0.9504950495049505,0.9696969696969697,101.0
Web Attack,0.8660714285714286,0.9603960396039604,0.9107981220657277,101.0
accuracy,0.9524752475247524,0.9524752475247524,0.9524752475247524,0.9524752475247524
macro avg,0.9548293966419413,0.9524752475247524,0.9525451263779761,505.0
weighted avg,0.9548293966419413,0.9524752475247524,0.9525451263779763,505.0
