,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,88,0,0,13
DoS/DDoS,0,0,99,1,1
Normal,3,0,1,96,1
Web Attack,0,3,1,0,97
