,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,85,0,1,15
DoS/DDoS,0,0,99,2,0
Normal,1,1,2,97,0
Web Attack,0,1,0,1,99
