split_seed,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,train_seconds,predict_seconds,feature_count,test_samples
42,rf_all,0.9623762376237623,0.9623762376237623,0.9646953860195764,0.9623762376237623,0.9622822461763565,0.23629790000268258,0.028671300009591505,78,505
42,rf_chi2,0.9524752475247524,0.9524752475247524,0.9548293966419413,0.9524752475247524,0.9525451263779761,0.21338520001154393,0.029044700000667945,60,505
42,weighted_rf_chi2,0.9524752475247524,0.9524752475247524,0.9548293966419413,0.9524752475247524,0.9525451263779761,0.42848570001660846,0.023450399981811643,60,505
2024,rf_all,0.9386138613861386,0.9386138613861386,0.9408821039547245,0.9386138613861386,0.9382886175003925,0.2371689999999944,0.028696199995465577,78,505
2024,rf_chi2,0.9524752475247524,0.9524752475247524,0.9552445369443531,0.9524752475247524,0.9521707005477265,0.2839797999768052,0.030459600005997345,60,505
2024,weighted_rf_chi2,0.9524752475247524,0.9524752475247524,0.9552445369443531,0.9524752475247524,0.9521707005477265,0.4409977000032086,0.013556499994592741,60,505
3407,rf_all,0.9603960396039604,0.9603960396039604,0.9620024306736047,0.9603960396039604,0.960441022174148,0.2742512999975588,0.028922899975441396,78,505
3407,rf_chi2,0.9623762376237623,0.9623762376237623,0.963711808852209,0.9623762376237623,0.9623300024801763,0.25389689998701215,0.08354719998897053,60,505
3407,weighted_rf_chi2,0.9623762376237623,0.9623762376237623,0.963711808852209,0.9623762376237623,0.9623300024801763,0.5034726000158116,0.017415500013157725,60,505
