,precision,recall,f1-score,support
Bot,0.9711538461538461,1.0,0.9853658536585366,101.0
Brute Force,0.9473684210526315,0.8910891089108911,0.9183673469387755,101.0
DoS/DDoS,0.98989898989899,0.9702970297029703,0.98,101.0
Normal,0.98,0.9702970297029703,0.9751243781094527,101.0
Web Attack,0.8878504672897196,0.9405940594059405,0.9134615384615384,101.0
accuracy,0.9544554455445544,0.9544554455445544,0.9544554455445544,0.9544554455445544
macro avg,0.9552543448790374,0.9544554455445544,0.9544638234336607,505.0
weighted avg,0.9552543448790375,0.9544554455445544,0.9544638234336605,505.0
