,DoS,Normal,Probe,R2L,U2R
DoS,0.7550281576830249,0.23612228479485117,0.008849557522123894,0.0,0.0
Normal,0.005766656369066008,0.9734321902996602,0.019977345278550097,0.0004119040263618577,0.0004119040263618577
Probe,0.06774060305658819,0.3420074349442379,0.5902519619991738,0.0,0.0
R2L,0.0,0.8812636165577342,0.0018155410312273058,0.1140159767610748,0.002904865649963689
U2R,0.0,0.94,0.02,0.015,0.025
