,DoS,Normal,Probe,R2L,U2R
DoS,0.7956556717618665,0.1875838026280504,0.01676052561008313,0.0,0.0
Normal,0.005766656369066008,0.9299763155184841,0.061373699927916796,0.0015446400988569664,0.0013386880856760374
Probe,0.06856670797191243,0.2077653862040479,0.7236679058240396,0.0,0.0
R2L,0.00036310820624546115,0.7712418300653595,0.0010893246187363835,0.2018881626724764,0.025417574437182282
U2R,0.0,0.7,0.1,0.02,0.18
