,precision,recall,f1-score,support
DoS,0.9625079770261646,0.8089300080450523,0.8790616348535626,7458.0
Normal,0.6665489226421759,0.9715786221810319,0.7906645437023381,9711.0
Probe,0.8312945973496432,0.6736885584469228,0.7442391056354095,2421.0
R2L,0.9523809523809523,0.050835148874364564,0.09651844191658049,2754.0
U2R,0.4166666666666667,0.025,0.04716981132075472,200.0
accuracy,0.7649041873669269,0.7649041873669269,0.7649041873669269,0.7649041873669269
macro avg,0.7658798232131205,0.5060064675094742,0.511530707485729,22544.0
weighted avg,0.8148507707954784,0.7649041873669269,0.723528818429605,22544.0
