,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1457,0,2,134
DoS/DDoS,0,0,2997,3,0
Normal,20,0,4,2976,0
Web Attack,0,14,0,2,85
