,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1451,0,2,140
DoS/DDoS,0,0,2997,3,0
Normal,19,0,4,2977,0
Web Attack,0,12,0,1,88
