,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1451,0,1,141
DoS/DDoS,0,0,2996,4,0
Normal,21,0,4,2975,0
Web Attack,0,11,0,2,88
