,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,1,0
Brute Force,0,1446,2,3,142
DoS/DDoS,0,0,2997,3,0
Normal,20,0,4,2976,0
Web Attack,0,12,0,2,87
