,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,0,0
Brute Force,0,1402,0,1,190
DoS/DDoS,0,0,2997,3,0
Normal,73,0,6,2908,13
Web Attack,0,2,0,2,97
