hidden_layer_sizes,alpha,val_macro_f1,val_accuracy,fit_seconds
"(64,)",0.0001,0.7761472959656592,0.977335336839469,11.158292599999186
"(128,)",0.0001,0.7838863974925533,0.9794640621086902,25.55393710000044
"(128, 64)",0.0001,0.782820174394901,0.9782118707738543,15.741681500000595
"(128,)",0.001,0.7755016849339993,0.9758327072376659,23.469088900000315
"(128, 64)",0.001,0.7773252685534524,0.9770848985725019,15.62714059999962
"(128,)",0.01,0.7677959230645107,0.966816929626847,16.926860800000213
