,DoS,Normal,Probe,R2L,U2R
DoS,0.7460445159560204,0.23625636899973182,0.017699115044247787,0.0,0.0
Normal,0.005869632375656472,0.92462156317578,0.06662547626403048,0.001956544125218824,0.0009267840593141798
Probe,0.06939281288723669,0.21354812061131764,0.7166460140437836,0.0,0.0004130524576621231
R2L,0.0,0.761437908496732,0.002178649237472767,0.21060275962236746,0.02578068264342774
U2R,0.0,0.71,0.09,0.02,0.18
