,DoS,Normal,Probe,R2L,U2R
DoS,0.7617323679270582,0.22673639045320462,0.011531241619737195,0.0,0.0
Normal,0.0056636803624755434,0.972505406240346,0.02100710534445474,0.00030892801977139327,0.0005148800329523221
Probe,0.06774060305658819,0.3362247005369682,0.5960346964064436,0.0,0.0
R2L,0.0,0.8736383442265795,0.002178649237472767,0.12127814088598403,0.002904865649963689
U2R,0.0,0.92,0.025,0.02,0.035
