,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,89,0,2,10
DoS/DDoS,0,0,101,0,0
Normal,2,0,1,95,3
Web Attack,0,2,0,0,99
