accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,model,seed,train_seconds,predict_seconds,feature_count
0.9584158415841584,0.9584158415841584,0.960089465431848,0.9584158415841584,0.9585845155680672,0.13579763650183993,0.01354282249525087,0.026531326781605677,0.6406846691499128,equal_rf_chi2,42,0.23217790000489913,0.02959499999997206,60
0.9623762376237623,0.9623762376237623,0.9628354720837631,0.9623762376237623,0.9623024896742169,0.12365879356141742,0.01273973987597406,0.025478185371166175,0.21204370643942838,equal_rf_all,42,0.21085789999051485,0.02809279999928549,78
0.9603960396039604,0.9603960396039604,0.9620160455438256,0.9603960396039604,0.9602178873775997,0.14956343183496223,0.014243428489361692,0.036491912028880705,0.5589586479272041,extra_trees_chi2,42,0.12610680000216234,0.02956340000673663,60
0.9584158415841584,0.9584158415841584,0.960089465431848,0.9584158415841584,0.9585845155680672,0.15410376031383471,0.01514656669554704,0.024580432683175238,0.20487082677179136,cfrg_forest_chi2,42,0.41401399999449495,0.029586699994979426,60
0.9643564356435643,0.9643564356435643,0.9663044390174583,0.9643564356435643,0.9644482478448186,0.14000561928154082,0.01373976280964381,0.024886782152710212,0.3532303465546488,equal_rf_chi2,2024,0.22625289999996312,0.027685599998221733,60
0.9584158415841584,0.9584158415841584,0.9591586818825831,0.9584158415841584,0.9583946454633198,0.12333720209248397,0.012700596054119809,0.02380321549140893,0.37927617072188413,equal_rf_all,2024,0.25190079999447335,0.02827130000514444,78
0.9603960396039604,0.9603960396039604,0.9624221190905471,0.9603960396039604,0.9603053455550027,0.15221054594709235,0.014461415255054738,0.038188011672708494,0.5724428196331712,extra_trees_chi2,2024,0.1374809999979334,0.030094799993094057,60
0.9643564356435643,0.9643564356435643,0.9663044390174583,0.9643564356435643,0.9644482478448186,0.14021142421715643,0.013223178657185836,0.01806512299646134,0.048500402907734164,cfrg_forest_chi2,2024,0.4238430999976117,0.03332899999804795,60
0.9663366336633663,0.9663366336633663,0.9691638307489437,0.9663366336633663,0.9666108387956875,0.1312753716947675,0.013077753179393012,0.02697851459980673,0.3582889539976586,equal_rf_chi2,3407,0.29032790000201203,0.028002099992590956,60
0.9623762376237623,0.9623762376237623,0.9627973986019432,0.9623762376237623,0.9622928306381888,0.12011178893885101,0.012186230652160021,0.026413904639158547,0.30426043547966597,equal_rf_all,3407,0.24350589999812655,0.02851839999493677,78
0.9623762376237623,0.9623762376237623,0.9639195589893154,0.9623762376237623,0.9623178707449334,0.15361089126388616,0.014194388678491886,0.03624767195993401,0.35102562346198074,extra_trees_chi2,3407,0.12891300000774208,0.029015799998887815,60
0.9663366336633663,0.9663366336633663,0.9691638307489437,0.9663366336633663,0.9666108387956875,0.12847905402267618,0.012360688975023602,0.01669911114413631,0.20322269690420636,cfrg_forest_chi2,3407,0.41058670000347774,0.030402199990930967,60
