,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,90,0,1,10
DoS/DDoS,0,0,101,0,0
Normal,0,0,1,97,3
Web Attack,0,2,1,0,98
