,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,101,0,0,0,0
Brute Force,0,91,0,0,10
DoS/DDoS,0,0,101,0,0
Normal,0,0,1,96,4
Web Attack,0,1,1,0,99
