,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1405,1,1,186
DoS/DDoS,0,16,2965,13,5
Normal,165,69,83,2658,25
Web Attack,0,2,1,0,98
