,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,1,0
Brute Force,0,1510,0,1,82
DoS/DDoS,0,0,2994,5,0
Normal,13,0,3,2984,0
Web Attack,0,39,0,2,60
