,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,286,0,0,7,0
Brute Force,0,1541,0,1,51
DoS/DDoS,0,0,2993,5,1
Normal,4,1,4,2989,2
Web Attack,0,57,1,1,42
