,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,69,254,91,27,40,145,31,17,3,0
Backdoor,63,189,82,15,58,145,0,21,10,0
DoS,419,1811,604,642,212,145,7,100,144,5
Exploits,469,1816,390,6849,457,290,35,450,367,9
Fuzzers,148,494,168,38,4432,290,220,176,91,5
Generic,7,18,64,408,520,17696,2,10,140,6
Normal,1452,7,53,565,10882,21,23173,454,389,4
Reconnaissance,46,230,25,66,73,0,2,2881,172,1
Shellcode,0,0,0,6,27,0,0,47,297,1
Worms,0,0,0,22,2,0,0,0,6,14
