model,accuracy,balanced_accuracy,macro_f1,log_loss,brier_macro,ece,mce,train_seconds,predict_seconds,test_samples
equal_rf_chi2,0.7255866491765048,0.5735050887637653,0.49863207171458573,0.6611063426053576,0.03288971440229644,0.05782197010413407,0.17362898084974893,3.9030563999986043,0.4093027000017173,82332
extra_trees_chi2,0.6826507311859301,0.5412197248987677,0.44831275169463264,0.7793012163743076,0.03783010460899501,0.05336939237203799,0.12575624946338115,3.080216400001518,0.4529761999983748,82332
cfrg_forest_chi2,0.7121046494680076,0.5882919062425503,0.48882927309089685,0.7848983625741839,0.039715451583250176,0.1724395251614803,0.4948690887361911,19.729799900000216,6.018774799998937,82332
