hidden_layer_sizes,alpha,val_macro_f1,val_accuracy,fit_seconds
"(64,)",0.0001,0.7606659070474635,0.9614325068870524,2.168948999999884
"(128,)",0.0001,0.7547413122228142,0.9586776859504132,3.832595500000025
"(128, 64)",0.0001,0.7662475040973502,0.9650638617580767,4.863476599999558
"(128,)",0.001,0.7558813631955907,0.9589281242173804,2.7674929999993765
"(128, 64)",0.001,0.7754209285838035,0.9719509140996744,8.385116299999936
"(128,)",0.01,0.7554676213839646,0.9566741798146757,4.185569799999939
