model,accuracy,balanced_accuracy,macro_f1,log_loss,brier,ece,train_seconds,predict_seconds
rccf,0.9778612572001002,0.9481963021080377,0.8892782820171663,0.05182642622414911,0.00636485914403304,0.006848880293834289,93.25607939999955,0.24383514000019205
equal_rf_chi2,0.9777861257200101,0.9500610008114811,0.8897341182289404,0.05220117015995819,0.006255324213017036,0.00449338494765999,1.158498690000306,0.04640227000018053
equal_rf_all,0.9769221136989732,0.9505489036506777,0.8876657556414335,0.05444894483395233,0.006628853074852069,0.00549241690003279,1.1536029299999426,0.04652337000006805
extra_trees_chi2,0.9634360130227899,0.9621536941942782,0.857490301370287,0.08969222653333636,0.010994795281405173,0.017002565874208612,0.6235803699999451,0.04980518000011212
