,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,1,0
Brute Force,0,1497,0,2,94
DoS/DDoS,0,0,2994,5,0
Normal,13,0,4,2983,0
Web Attack,0,33,0,2,66
