accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,model,seed,train_seconds,predict_seconds,test_samples,feature_mode,feature_count
0.9822188830453293,0.8649012666814204,0.8694259255286847,0.8649012666814204,0.867109309966463,decision_tree_all,42,1.3783896999957506,0.0041695999971125275,7986,,
0.9290007513148009,0.9453887191852057,0.7720841073440392,0.9453887191852057,0.8162007928712992,svm_chi2,42,13.318301699997392,3.3252888999995776,7986,chi2,60.0
0.9833458552466817,0.9189508761739316,0.878851488763879,0.9189508761739316,0.895478938687382,random_forest_all,42,0.8242099000053713,0.04119420000643004,7986,all,78.0
0.9820936639118457,0.9085987652891061,0.873410059110812,0.9085987652891061,0.8882768297945514,random_forest_chi2,42,0.917915300000459,0.03979619999881834,7986,chi2,60.0
0.9829701978462309,0.9204288770813669,0.877200138792283,0.9204288770813669,0.8947101440994665,weighted_rf_all,42,2.4209848000027705,0.1766977999941446,7986,all,78.0
0.9815927873779113,0.9080965681767396,0.870942290402869,0.9080965681767396,0.8863458238140975,weighted_rf_chi2,42,3.3010487999999896,0.314775799997733,7986,chi2,60.0
0.9825945404457801,0.8646031047142818,0.8712759192929417,0.8646031047142818,0.8678297730823903,decision_tree_all,2024,0.9147189000068465,0.0015578000020468608,7986,,
0.9290007513148009,0.9453887191852057,0.7720841073440392,0.9453887191852057,0.8162007928712992,svm_chi2,2024,13.989903599998797,3.3882471000106307,7986,chi2,60.0
0.9805910343100426,0.9239017778502493,0.8693165579657862,0.9239017778502493,0.8896603485830141,random_forest_all,2024,0.7782662000099663,0.04209790000459179,7986,all,78.0
0.9807162534435262,0.9164909669386496,0.8687266139224867,0.9164909669386496,0.8870046625145731,random_forest_chi2,2024,0.8389504000078887,0.08612079999875277,7986,chi2,60.0
0.980465815176559,0.9274855260555783,0.8694561137611467,0.9274855260555783,0.8905997499142961,weighted_rf_all,2024,2.4097641999978805,0.18434049999632407,7986,all,78.0
0.9808414725770098,0.9184711649584516,0.8695844107620403,0.9184711649584516,0.8882067289099158,weighted_rf_chi2,2024,2.416549400004442,0.15132269999594428,7986,chi2,60.0
0.9830954169797145,0.8707281306632044,0.8762208885903391,0.8707281306632044,0.8734136053685491,decision_tree_all,3407,1.277399600003264,0.0032833000004757196,7986,,
0.9290007513148009,0.9453887191852057,0.7720841073440392,0.9453887191852057,0.8162007928712992,svm_chi2,3407,14.794254699998419,3.479746000011801,7986,chi2,60.0
0.981718006511395,0.906308586101696,0.870145341836513,0.906308586101696,0.8852162523004659,random_forest_all,3407,0.7720292000012705,0.04230529999767896,7986,all,78.0
0.9820936639118457,0.9060693289756145,0.8724573082033501,0.9060693289756145,0.8866054548453739,random_forest_chi2,3407,0.8476996999961557,0.04144780000206083,7986,chi2,60.0
0.9813423491109442,0.9096412357508417,0.8690963204851148,0.9096412357508417,0.8854420928396344,weighted_rf_all,3407,2.333264100001543,0.18498859999817796,7986,all,78.0
0.9814675682444277,0.9054415825851562,0.8694430676543108,0.9054415825851562,0.8842341247733776,weighted_rf_chi2,3407,2.530885699990904,0.3115185000060592,7986,chi2,60.0
