,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,286,0,0,7,0
Brute Force,0,1539,0,1,53
DoS/DDoS,0,1,2993,4,1
Normal,4,1,4,2990,1
Web Attack,0,60,0,2,39
