,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,292,0,0,1,0
Brute Force,0,1494,0,2,97
DoS/DDoS,0,0,2994,5,0
Normal,15,0,4,2981,0
Web Attack,0,29,0,2,70
