seed,model,accuracy,balanced_accuracy,macro_f1,log_loss,brier_macro,ece,mce,train_seconds,predict_seconds
42,equal_rf,0.9603960396039604,0.9603960396039604,0.9605030012596144,0.13185090535976296,0.013795592177752124,0.026243873418694125,0.3905902091419293,0.23064020000310848,0.02936930000578286
42,extra_trees,0.9465346534653465,0.9465346534653465,0.9463054609104635,0.1524640201644696,0.015374037507196481,0.043412898710451654,0.35619012874456785,0.13010890000441577,0.029169900000852067
42,cfrg_forest,0.9623762376237623,0.9623762376237623,0.9624852863317515,0.1433726709304493,0.014008255661070876,0.023811778842601723,0.20323564578079623,0.41800539999530884,0.028009599998767953
42,xgboost,0.9643564356435643,0.9643564356435643,0.9645549331040968,0.10080927610397339,0.011177525960374624,0.010909985551739769,0.3398990035057068,0.5599368000039249,0.004753299996082205
2024,equal_rf,0.9603960396039604,0.9603960396039604,0.9605030012596144,0.13518874947617768,0.01399414427903142,0.02525827108822861,0.2583154513507662,0.2519763000018429,0.028760900000634138
2024,extra_trees,0.9524752475247524,0.9524752475247524,0.9523047805355249,0.14851083464318268,0.014916132577233177,0.0356374358128694,0.3450535038453218,0.119999700000335,0.029552799998782575
2024,cfrg_forest,0.9623762376237623,0.9623762376237623,0.9624852863317515,0.1428840491562456,0.01396287767520736,0.022720620407401082,0.20043652125845768,0.4220190999985789,0.03136919999815291
2024,xgboost,0.9623762376237623,0.9623762376237623,0.9625845868157367,0.10722510516643524,0.011858254042454063,0.010458892288774627,0.12608772913614918,0.48360669999965467,0.002976999996462837
3407,equal_rf,0.9584158415841584,0.9584158415841584,0.9585207729615967,0.1328034159417584,0.013660841710868371,0.02722905527290373,0.6164741692787223,0.2606448000005912,0.029825700003129896
3407,extra_trees,0.9485148514851485,0.9485148514851485,0.9483173932519116,0.15028299150565627,0.01510433063537479,0.03618814472522378,0.3788377036384148,0.16756210000312421,0.027014799998141825
3407,cfrg_forest,0.9603960396039604,0.9603960396039604,0.9605030012596144,0.14809536134717172,0.01468011992591857,0.02436420005941065,0.21109147349505752,0.4088469999987865,0.027373299999453593
3407,xgboost,0.9623762376237623,0.9623762376237623,0.9625845868157367,0.1032252386212349,0.011369101982563735,0.01200945141291848,0.49729931354522705,0.5492430999947828,0.003052599997317884
