model,seed,accuracy,balanced_accuracy,macro_f1,train_seconds,predict_seconds,feature_count,test_samples,log_loss,brier_macro,ece
rf_all,42,0.7051814604285089,0.564667091026137,0.4811250100756309,18.65617670002393,1.1865662999916822,197,82332,0.6601421726300507,0.033823314634571,0.0799670677025401
rf_chi2,42,0.7075013360540252,0.5426235824479927,0.4671679830755509,12.479742900002748,0.6492109999526292,60,82332,0.6893519745551159,0.0343095182431113,0.0739918735550772
extra_trees_chi2,42,0.6621119370354176,0.601582610971158,0.4212230545962848,11.520477700047197,0.6128035000292584,60,82332,0.8635992889240027,0.0397977283608541,0.0941929259108138
xgboost_chi2,42,0.76695574017393,0.5272523216390163,0.483391568985982,30.61861169995973,0.5659986999817193,60,82332,0.5247739344873091,0.0284963366200516,0.0406192423520444
rf_all,2024,0.7025214983238595,0.5611151460576258,0.4811662012333385,16.380031800013967,2.56878540001344,197,82332,0.671448623106423,0.034182389690487,0.0833551675430445
rf_chi2,2024,0.7088130981878249,0.5347550989523056,0.4614116167265526,11.26028619997669,2.087356799980625,60,82332,0.6821743422446715,0.0344003589721231,0.0716876622199675
extra_trees_chi2,2024,0.6641281640188506,0.5913989769137015,0.4253188173361974,9.886552699957974,1.9516904999618416,60,82332,0.862450072976654,0.0396027144490154,0.0953087009912076
xgboost_chi2,2024,0.7675387455667299,0.5171727147919587,0.4810339930990329,29.913810900005046,0.8578823999851011,60,82332,0.5221816528639718,0.0283515801147721,0.0413104130476033
rf_all,3407,0.703748238837876,0.5774306634312684,0.4847810579460103,16.88450769998599,2.258384499989916,197,82332,0.6672100720608292,0.0340042282020228,0.0815871459799366
rf_chi2,3407,0.708594471165525,0.5472339967526388,0.4731816112757704,11.771774999971967,1.4673016000306234,60,82332,0.6901315974763162,0.0345805006678975,0.0757230676184134
extra_trees_chi2,3407,0.6652334450760337,0.6012543978858632,0.4281208967419284,9.92051749996608,1.8943669000291263,60,82332,0.843675531743155,0.0395453749890116,0.0940767503594971
xgboost_chi2,3407,0.769494242821746,0.5317649316780237,0.4869642486392444,30.09520539996447,0.8418286999803968,60,82332,0.5221619167667823,0.0283561846506274,0.0375356732814352
