true_label,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
Analysis,0.01772525849335303,0.37961595273264404,0.3722304283604136,0.08419497784342689,0.1329394387001477,0.0,0.011816838995568686,0.0014771048744460858,0.0,0.0
Backdoor,0.02058319039451115,0.3053173241852487,0.4665523156089194,0.018867924528301886,0.16123499142367068,0.0,0.012006861063464836,0.0017152658662092624,0.0137221269296741,0.0
DoS,0.0239667400342382,0.5103937393005625,0.20983125458547322,0.1743702616776718,0.041085840058694055,0.0,0.00293470286133529,0.011005135730007337,0.025678650036683785,0.0007336757153338225
Exploits,0.012666187567373338,0.18586058210564138,0.0690801293568092,0.640495867768595,0.03251886453467481,0.0,0.005030542579949695,0.02820697089471793,0.025691699604743084,0.0004491555874955084
Fuzzers,0.005278785879247773,0.08116133289343451,0.08940943582975916,0.04025074232926427,0.6534147146156384,0.0,0.05278785879247773,0.010392609699769052,0.0673045199604091,0.0
Generic,5.299136240792751e-05,0.00042393089926342006,0.0034974299189232155,0.024270043982830797,0.0036034126437390706,0.9630650204016745,0.0,0.0002649568120396375,0.004716231254305548,0.00010598272481585502
Normal,0.03486486486486486,0.0,0.00045945945945945947,0.01608108108108108,0.27824324324324323,0.0,0.6557837837837838,0.0015135135135135136,0.012945945945945945,0.00010810810810810811
Reconnaissance,0.003432494279176201,0.07522883295194507,0.014302059496567507,0.040903890160183067,0.006292906178489702,0.0,0.0008581235697940503,0.8326659038901602,0.02602974828375286,0.0002860411899313501
Shellcode,0.0,0.0,0.0,0.021164021164021163,0.082010582010582,0.0,0.005291005291005291,0.013227513227513227,0.8783068783068783,0.0
Worms,0.0,0.0,0.0,0.4318181818181818,0.045454545454545456,0.0,0.0,0.0,0.06818181818181818,0.45454545454545453
