,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,1.0,0.0,0.0,0.0,0.0
Brute Force,0.0,0.9183929692404269,0.0,0.0012554927809165098,0.08035153797865663
DoS/DDoS,0.0,0.0,0.9983327775925308,0.0016672224074691564,0.0
Normal,0.005666666666666667,0.0,0.0023333333333333335,0.992,0.0
Web Attack,0.0,0.12871287128712872,0.0,0.009900990099009901,0.8613861386138614
