,precision,recall,f1-score,support
Bot,0.9765100671140939,0.9931740614334471,0.9847715736040609,293.0
Brute Force,0.9741935483870968,0.9478970495919649,0.9608654152083996,1593.0
DoS/DDoS,0.9976682211858761,0.9986662220740247,0.9981669721713048,2999.0
Normal,0.9976612094888072,0.9953333333333333,0.9964959118972134,3000.0
Web Attack,0.4195804195804196,0.594059405940594,0.4918032786885246,101.0
accuracy,0.9819684447783621,0.9819684447783621,0.9819684447783621,0.9819684447783621
macro avg,0.8731226931512588,0.9058260144746727,0.8864206303139006,7986.0
weighted avg,0.9848955695499074,0.9819684447783621,0.9832030170140114,7986.0
