,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1403,0,3,187
DoS/DDoS,0,0,2994,2,3
Normal,53,1,5,2925,16
Web Attack,0,2,0,2,97
