,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,2,0
Brute Force,0,1511,0,0,82
DoS/DDoS,0,1,2994,3,1
Normal,7,1,7,2985,0
Web Attack,0,38,0,2,61
