,precision,recall,f1-score,support
Bot,0.8668639053254438,1.0,0.9286846275752774,293.0
Brute Force,0.995125348189415,0.8970495919648462,0.9435457246616045,1593.0
DoS/DDoS,0.9989973262032086,0.9966655551850617,0.9978300784510098,2999.0
Normal,0.9972927241962775,0.9823333333333333,0.9897565071368598,3000.0
Web Attack,0.35094339622641507,0.9207920792079208,0.5081967213114754,101.0
accuracy,0.9705735036313549,0.9705735036313549,0.9705735036313549,0.9705735036313549
macro avg,0.841844540028152,0.9593681119382325,0.8736027318272453,7986.0
weighted avg,0.9845407263733054,0.9705735036313549,0.9752395104937526,7986.0
