,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,0.9931740614334471,0.0,0.0,0.006825938566552901,0.0
Brute Force,0.0,0.9478970495919649,0.0,0.0,0.052102950408035156
DoS/DDoS,0.0,0.00033344448149383126,0.9979993331110371,0.001333777925975325,0.00033344448149383126
Normal,0.0023333333333333335,0.0,0.0023333333333333335,0.9946666666666667,0.0006666666666666666
Web Attack,0.0,0.38613861386138615,0.0,0.009900990099009901,0.6039603960396039
