,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1428,0,0,165
DoS/DDoS,0,0,2989,6,4
Normal,27,0,4,2964,5
Web Attack,0,7,0,1,93
