,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1429,0,1,163
DoS/DDoS,0,0,2989,6,4
Normal,45,0,3,2947,5
Web Attack,0,7,0,1,93
