,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,289,0,0,4,0
Brute Force,0,1588,0,5,0
DoS/DDoS,0,4,2965,29,1
Normal,55,78,80,2782,5
Web Attack,0,93,1,4,3
