,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,291,0,0,2,0
Brute Force,0,1510,0,0,83
DoS/DDoS,0,1,2993,4,1
Normal,7,0,7,2984,2
Web Attack,0,39,0,1,61
