,Bot,Brute Force,DoS/DDoS,Normal,Web Attack
Bot,293,0,0,0,0
Brute Force,0,1464,0,2,127
DoS/DDoS,0,0,2994,5,0
Normal,17,0,7,2976,0
Web Attack,0,13,0,1,87
