accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,log_loss,brier_macro,ece,mce,model,seed,train_seconds,predict_seconds,test_samples,feature_count
0.9787127473077887,0.9523088235065964,0.8678688971490548,0.9523088235065964,0.8935651139924344,0.05171497385274363,0.006116294761043787,0.0064709376266495425,0.13761991938909612,equal_rf_chi2,42,0.8777373999982956,0.03939060000266181,7986,60
0.9782118707738543,0.9538968500409043,0.8647484084891902,0.9538968500409043,0.8921649502180676,0.05400300480066807,0.006406888811488295,0.0080336031596521,0.16746062822093122,equal_rf_all,42,0.862449000000197,0.029511100001400337,7986,78
0.9650638617580767,0.9623225812821156,0.8306916895743303,0.9623225812821156,0.8620833446551351,0.08819129972128133,0.010520709497156968,0.02231375509438483,0.33596844717567714,extra_trees_chi2,42,0.4080220999967423,0.04024639999988722,7986,60
0.9546706736789381,0.7817546537285646,0.7682065411847281,0.7817546537285646,0.7615610930289283,0.13683090258853914,0.014536554611311425,0.01887115305148883,0.43676361822811866,svm_chi2,42,61.55220530000224,2.474004600000626,7986,60
0.9819684447783621,0.9058260144746727,0.8731226931512588,0.9058260144746727,0.8864206303139006,0.4127765299332471,0.006803244195637048,0.016744853238509782,0.33501003619093106,decision_tree_chi2,42,0.6949104999948759,0.0015313000039895996,7986,60
0.9787127473077887,0.9523088235065964,0.8678688971490548,0.9523088235065964,0.8935651139924344,0.05181591457314416,0.006134545347206523,0.007072669971633291,0.16516488201024537,scalar_weighted_rf_chi2,42,1.9402272999941488,0.13710120000177994,7986,60
0.978587528174305,0.9521832742285048,0.8674937810003204,0.9521832742285048,0.8931512997416355,0.051815550815163286,0.006135562149638213,0.00695185519701867,0.15001071335023575,reliability_only_rf_chi2,42,2.4533666999996058,0.14823339999566087,7986,60
0.9705735036313549,0.9593681119382325,0.841844540028152,0.9593681119382325,0.8736027318272453,0.06812640434253246,0.008213185505110288,0.007939037796285736,0.3865055454307491,cost_only_rf_chi2,42,2.447204399999464,0.13910680000117281,7986,60
0.9709491610318056,0.9595681119382325,0.8433976812405566,0.9595681119382325,0.8745917466386659,0.06829445387920582,0.008239533782795298,0.007871096156949236,0.3931063673712336,drc_forest_chi2,42,2.4549371999964933,0.14280099999450613,7986,60
0.9784623090408214,0.9541479263674555,0.8675776401039592,0.9541479263674555,0.8941173831321747,0.05291297989334782,0.006174151019027101,0.004768181174213312,0.2567161240316185,equal_rf_chi2,2024,0.7098977999994531,0.02782110000407556,7986,60
0.9775857751064363,0.9512966674562536,0.8633293248175523,0.9512966674562536,0.8894412762592889,0.054052610787805294,0.0063613302891232905,0.005528002350194112,0.18456579410511686,equal_rf_all,2024,0.7538730000014766,0.02764279999973951,7986,78
0.9655647382920111,0.9626481527898392,0.8323676053255433,0.9626481527898392,0.8633519678215082,0.08856556100432914,0.010701098028272587,0.021501745575040282,0.39253293049647636,extra_trees_chi2,2024,0.3887780000004568,0.027263600000878796,7986,60
0.955046331079389,0.7857817164348352,0.8065444436979027,0.7857817164348352,0.7689243332982176,0.13683075601830097,0.014503315042502976,0.019772515920820282,0.44345324695397087,svm_chi2,2024,58.948388200005866,2.4645747000031406,7986,60
0.9815927873779113,0.9075395013685439,0.8721991828331784,0.9075395013685439,0.8863132705748329,0.4223385079833856,0.00696226755644901,0.017037037396212696,0.33501003619093106,decision_tree_chi2,2024,0.7195069000008516,0.0013375000053201802,7986,60
0.9783370899073378,0.9540223770893638,0.8671982688150432,0.9540223770893638,0.8936995928509421,0.05302930000042583,0.006192245252911456,0.004668279532961577,0.1332157521826593,scalar_weighted_rf_chi2,2024,1.9603427999973064,0.1423646999974153,7986,60
0.9783370899073378,0.9540223770893638,0.8671982688150432,0.9540223770893638,0.8936995928509421,0.053004253748188575,0.006192218377232725,0.004999776900385418,0.20323063346610215,reliability_only_rf_chi2,2024,2.4644571999961045,0.15805030000046827,7986,60
0.9704482844978712,0.9609794684086334,0.8431019119045645,0.9609794684086334,0.8742559297387164,0.07013860140465637,0.008347361916987723,0.00542065711392428,0.6190254866813469,cost_only_rf_chi2,2024,2.4712512000041897,0.15143930000340333,7986,60
0.9704482844978712,0.9609794684086334,0.8431019119045645,0.9609794684086334,0.8742559297387164,0.07030891013453067,0.008374036530544204,0.005522557908091181,0.2770997971635419,drc_forest_chi2,2024,2.5381294999970123,0.1480085000002873,7986,60
0.9783370899073378,0.9482817608003258,0.8661003246879693,0.9482817608003258,0.8912074267284449,0.05110694076712897,0.005993767248376945,0.006079619953213874,0.14442196762219595,equal_rf_chi2,3407,0.7502788999991026,0.028255900004296564,7986,60
0.9775857751064363,0.9530923891272748,0.8644712319275181,0.9530923891272748,0.8902585584391159,0.05445766752652059,0.006464397718309843,0.006595389160412706,0.6070161182600695,equal_rf_all,3407,0.7207745999985491,0.027909399999771267,7986,78
0.9656899574254946,0.9628914006018846,0.8321528877083992,0.9628914006018846,0.8634821168707921,0.08866504795975633,0.010675344700044002,0.020114737916011278,0.7204363200031065,extra_trees_chi2,3407,0.397697699998389,0.040244299998448696,7986,60
0.9546706736789381,0.7817546537285646,0.7685943962065834,0.7817546537285646,0.7617900841347138,0.13671718028008692,0.014455190633181894,0.01862153923082069,0.4408283618410152,svm_chi2,3407,59.9127731999979,2.4641453999938676,7986,60
0.9819684447783621,0.907798406209601,0.8739318474388215,0.907798406209601,0.8876510247895869,0.4083050198719621,0.00675870946741868,0.01671230352289611,0.33501003619093106,decision_tree_chi2,3407,0.6815017000044463,0.001305600002524443,7986,60
0.9784623090408214,0.9502619588201278,0.8668001916987113,0.9502619588201278,0.8921995954536577,0.05122342756819702,0.006013816387991869,0.0064805995421334224,0.18687719034796396,scalar_weighted_rf_chi2,3407,1.8519507000019075,0.11785060000693193,7986,60
0.978587528174305,0.9522421568399297,0.867494974724511,0.9522421568399297,0.8931859176368409,0.05122996683092995,0.00601659739859615,0.006494192076052166,0.16403484020459996,reliability_only_rf_chi2,3407,2.33745369999815,0.1276406999968458,7986,60
0.9725770097670924,0.9603758959934741,0.8510737994372427,0.9603758959934741,0.87900960256254,0.06697561552846665,0.008014609591708586,0.006526827529105338,0.10305398967688162,cost_only_rf_chi2,3407,2.4243241000003763,0.14034579999861307,7986,60
0.972702228900576,0.9605014452715658,0.8513363695129839,0.9605014452715658,0.8793548228751875,0.06716109772385219,0.008045435763755557,0.006741993369156315,0.12007849892609701,drc_forest_chi2,3407,2.4776233000011416,0.13181740000436548,7986,60
